age,gender,urban_rural,last_year_income,gas_price,owns_ev,miles_driven,fixed_expenses
40,0,0,60357.34,2.85,0,10667,31517.63
35,1,0,70473.29,3.05,0,13049,11872.13
39,1,0,105081.29,2.97,0,14726,15101.77
39,0,0,107772.59,2.88,0,13945,33920.58
56,0,0,128138.06,2.93,1,14552,17725.91
64,1,0,76883.65,3.0,0,13127,20246.69
45,0,0,80805.22,2.94,1,12468,17582.29
28,1,0,74246.13,2.71,0,13025,28840.94
49,1,1,100618.03,2.88,0,14659,22422.15
47,1,0,90428.95,3.06,0,14888,15312.05
52,0,0,71039.98,2.92,0,13919,15758.75
37,1,0,88655.68,3.23,1,13292,16818.75
27,1,0,51392.4,2.98,0,12078,21011.11
45,0,0,75787.64,3.08,1,10906,25681.83
30,0,0,58140.35,2.96,0,15283,11754.07
50,0,0,115407.58,3.02,1,13849,23218.71
51,1,1,75863.57,3.13,1,13661,19780.09
39,0,0,94357.4,3.13,0,13182,27437.21
59,1,0,66226.72,3.03,1,11453,19788.0
32,1,1,89218.48,3.06,0,14597,17525.39
59,1,0,97380.39,3.01,1,14767,23750.43
41,0,0,84968.31,3.02,0,16741,16648.58
50,1,1,78084.48,3.14,1,14026,12628.04
49,1,1,95539.4,3.28,0,16458,15072.89
64,0,1,129417.09,3.17,1,14968,24250.72
63,0,0,125643.41,3.13,1,13256,26799.82
26,0,0,59079.11,3.07,0,12304,11788.34
25,0,0,57906.34,2.95,0,12153,11423.5
43,1,1,58334.42,2.99,1,12655,31212.43
46,0,0,75846.15,3.09,0,13177,23160.37
43,1,0,89394.99,3.09,0,12731,17468.57
46,0,0,141822.7,2.91,1,16054,18627.86
40,0,1,102295.8,2.89,0,14779,21748.59
35,1,0,73329.23,3.03,1,12337,25919.66
60,0,1,82893.9,2.99,0,11751,29738.37
48,1,1,71077.17,3.23,1,13241,14402.82
24,1,0,54126.21,3.05,0,13271,13994.98
29,0,0,78398.14,3.08,0,10926,33035.05
45,1,0,81342.72,3.01,1,13441,10952.41
36,0,0,58599.29,3.05,1,13004,20406.59
39,0,0,74892.66,2.96,0,12419,12275.62
50,0,0,72979.07,2.75,1,11087,29670.01
38,1,0,63376.5,2.9,0,11588,17854.26
58,1,0,80009.68,3.03,1,16764,11806.63
48,1,0,86037.35,3.13,1,16733,18010.49
43,1,0,65177.7,2.94,0,12085,18406.21
32,1,1,64229.03,3.05,0,11710,32033.06
39,0,0,56163.14,2.87,0,12331,7585.93
50,1,0,78391.7,2.94,1,10930,23284.88
67,0,0,93072.58,3.02,0,11935,25016.1
28,1,0,106105.32,3.17,1,15175,15622.94
30,1,0,69002.45,2.93,1,11738,22466.22
49,1,0,74938.75,2.77,0,13791,18589.96
53,0,0,73165.64,3.17,0,12354,20439.46
29,1,0,71387.3,2.93,0,11860,23077.28
52,0,0,75010.45,3.04,0,12588,14516.07
51,0,1,77133.36,3.0,1,13721,14562.48
47,1,0,102072.29,3.14,1,13850,24985.73
37,1,0,78048.39,2.92,1,15840,18096.1
40,0,0,98586.53,2.93,0,13052,25935.24
38,1,1,76349.12,2.83,0,13808,16448.91
53,1,0,69849.35,3.23,0,12816,13091.31
37,1,0,70045.29,3.04,0,11786,28672.0
37,1,0,103116.5,3.19,1,15215,25141.55
59,0,1,67100.78,2.94,1,12754,13570.92
57,0,0,126492.97,3.14,0,14302,20520.73
62,1,1,87614.93,3.05,1,13187,22906.73
51,0,0,76486.19,2.92,0,12568,17175.08
28,0,1,40514.1,2.9,0,12534,13786.93
29,1,1,71692.41,3.05,0,14753,19468.89
43,0,0,67292.57,2.97,0,13485,20087.54
54,1,0,88404.17,3.03,0,11076,28674.68
55,0,0,82377.03,3.09,0,12110,13047.01
45,1,0,88334.36,2.94,0,13418,23111.52
61,1,1,109929.45,2.89,0,13907,27273.25
31,0,0,50488.63,3.04,1,11401,15368.28
34,0,0,65313.28,2.81,0,12157,16875.21
37,1,0,68086.95,3.13,0,11470,23563.05
35,1,0,62779.99,3.13,0,13036,15652.1
36,0,0,60270.73,3.15,0,13390,8186.14
30,0,1,56765.64,3.03,1,12129,18343.11
38,1,0,70037.55,2.85,0,12325,15248.53
25,1,0,76588.49,3.02,0,11922,30108.46
43,0,0,67853.62,2.95,0,11884,18530.95
60,0,0,73055.78,2.97,0,12774,16294.78
40,1,0,48996.66,2.85,0,11896,12657.79
45,0,1,64386.53,2.92,0,12427,16495.24
45,0,0,89250.29,3.0,1,11825,30712.31
58,0,1,120885.7,3.19,0,13917,22283.35
49,1,0,72704.31,3.02,1,12070,21474.0
52,0,0,93267.74,2.93,1,12962,17225.51
37,1,0,85057.05,2.89,1,12696,21680.28
57,1,0,66354.7,2.85,0,12184,20737.02
32,1,1,47402.78,3.05,0,14751,19804.99
39,0,0,71295.54,2.83,1,11671,20140.82
49,0,1,59553.9,2.92,0,12491,12081.59
37,1,0,55940.82,3.1,1,13811,13944.46
55,1,1,83778.38,2.91,1,13951,15005.19
54,0,0,69791.24,3.15,0,10405,32001.08
32,1,0,63494.74,2.97,1,11727,18676.33
34,0,1,59967.0,2.95,1,12950,8415.24
27,1,0,67127.28,2.96,0,14334,22539.15
54,0,1,70845.53,2.94,0,12824,15047.45
37,1,0,91236.31,2.86,1,14696,18335.42
39,0,0,97692.68,2.97,1,13065,16287.1
35,1,0,81951.33,3.05,1,14530,15450.07
30,1,0,71774.34,2.83,0,13599,18519.67
40,0,0,83723.14,2.95,0,13718,11466.21
34,1,0,46238.17,3.02,1,11229,17008.64
43,1,0,103854.65,3.06,0,12348,32219.88
33,0,0,78844.95,2.6,1,14388,16291.67
42,0,1,98303.53,2.75,0,14688,15783.78
60,1,0,77491.17,3.01,0,13113,13137.65
38,0,0,64874.44,3.07,0,11056,22061.36
60,0,0,131781.01,2.94,1,16125,17904.83
27,0,0,51177.65,3.09,0,11962,13900.46
43,0,0,86917.92,2.87,0,12522,15192.97
44,0,0,112411.69,2.97,1,13040,31674.69
61,0,1,96584.95,2.9,0,13268,20865.44
58,1,1,121901.33,2.85,0,15374,26627.87
42,0,1,69345.67,3.07,1,13721,12763.59
50,0,0,68196.11,2.99,0,10391,34062.7
63,1,0,75146.09,2.95,1,11945,19837.09
49,0,0,94492.2,3.05,0,12135,28475.35
60,1,0,90871.39,3.03,0,12867,16628.18
59,1,1,54751.8,2.82,0,11847,13748.65
41,0,1,63892.25,3.05,0,13524,12273.4
46,0,0,97522.02,2.85,0,12815,24476.22
32,0,1,56559.93,3.01,1,11691,19071.03
40,0,0,92704.35,2.84,0,13761,17279.72
54,0,0,80829.61,2.97,0,11545,16887.1
44,1,0,88195.6,2.95,0,13578,20080.05
35,1,0,73902.74,3.03,1,11340,29970.69
30,1,0,85199.38,3.3,1,11648,29246.25
34,0,0,72282.7,2.86,0,11919,22475.22
30,0,0,49540.43,3.01,0,12954,17367.8
34,0,0,71646.21,2.96,1,11991,20740.8
38,1,1,69099.62,2.97,0,13380,16491.29
26,1,0,106090.94,2.95,1,15089,31243.49
53,1,1,71609.62,2.9,0,12580,20382.89
39,1,1,70121.72,3.23,1,14153,18920.13
43,1,0,77011.0,2.88,0,13667,15218.34
45,0,0,79180.47,3.1,0,13000,17561.39
30,1,0,93632.84,2.96,0,13628,22453.37
28,0,0,62269.24,2.97,0,12296,13590.67
31,0,1,64321.62,2.9,0,13625,14065.12
65,0,0,80239.95,3.06,1,12362,16425.06
29,1,0,86687.65,3.11,0,16086,14934.25
39,1,1,80030.32,2.91,0,14126,13018.56
55,0,0,137950.65,2.91,1,14287,26454.8
44,0,0,118224.71,3.12,0,16815,15876.2
25,0,0,85184.49,2.94,0,13114,18066.72
55,0,0,83850.32,3.04,1,14144,31897.47
38,0,0,68101.62,3.23,1,12187,15224.18
32,0,0,66773.41,3.1,0,12171,19590.65
37,0,1,52516.24,3.02,0,11856,14852.52
44,1,1,60682.44,3.0,1,11755,27487.98
26,1,1,97168.21,2.97,1,14505,18828.55
46,1,1,87385.2,2.82,0,13879,15402.11
45,1,0,65850.17,2.85,0,12749,18155.29
34,0,1,54513.22,3.18,0,15899,18081.71
40,1,1,102989.33,3.07,0,15468,23941.52
33,0,0,76267.75,3.17,1,12885,13099.96
25,1,1,75974.26,2.85,0,14380,20329.02
44,1,0,82865.29,3.15,1,14754,24193.4
40,1,0,107804.46,2.99,0,14007,29412.68
53,0,0,95526.79,3.02,1,13488,19389.44
33,0,0,53333.5,2.84,0,11209,19574.16
40,1,0,80844.12,3.03,0,12370,17499.64
46,0,1,77306.44,3.19,0,13898,16088.15
28,1,0,68210.77,2.92,0,13751,18125.44
38,1,0,67215.26,3.2,1,12728,14505.42
47,1,0,93363.24,3.18,1,13173,22056.78
34,0,0,58558.36,3.02,0,10031,26590.37
38,0,0,96355.24,2.93,1,12779,29434.83
44,0,0,109243.43,2.93,0,14807,21167.99
39,0,1,80111.54,2.91,0,15485,15789.93
55,1,0,77716.06,3.22,0,12146,21556.96
54,0,1,112661.91,3.02,0,15131,18882.95
53,1,0,67244.32,2.98,1,10687,21569.6
40,1,0,64360.48,2.85,0,12180,28771.91
32,1,1,110954.28,2.88,1,15216,21367.14
46,0,0,73609.48,2.91,1,13148,24171.98
40,0,0,52280.07,3.14,1,11577,16956.83
42,1,0,98551.11,2.9,0,15326,19254.41
59,0,1,105846.69,3.0,0,13953,20089.79
51,1,0,65659.7,3.04,0,12601,20037.38
30,1,1,62867.11,2.93,0,13335,16863.4
57,1,1,83839.21,3.11,0,14220,16267.1
47,0,0,67303.39,2.97,0,11913,23501.3
37,1,0,51229.32,2.94,0,10290,27325.45
48,1,0,73103.36,2.87,0,13485,12821.46
41,0,1,58749.47,2.98,0,12804,13446.89
43,1,1,91807.44,2.89,0,12559,34728.48
44,1,0,65516.42,2.91,1,12041,35203.94
31,1,1,71731.44,2.93,1,15322,20440.5
38,0,0,90621.18,3.0,1,13281,27686.14
40,0,0,52171.77,2.83,0,11605,11222.56
27,1,1,87525.3,2.93,0,13880,20828.28
48,1,0,50053.7,2.59,0,14801,19197.92
37,0,0,83645.72,3.0,0,10802,35931.45
41,0,0,59015.87,2.82,1,12805,15861.88
60,1,1,98490.9,3.19,1,14299,20352.79
54,0,0,154101.16,3.04,1,15275,21926.25
35,1,1,86250.12,2.93,0,14222,14000.78
39,1,0,69467.93,3.04,0,13704,11916.07
44,0,1,89015.75,2.9,0,13344,31030.15
30,1,1,118278.17,2.85,1,14564,26446.05
51,1,0,73077.76,2.85,1,12520,18308.04
37,0,0,75145.25,2.98,0,12074,24349.21
30,0,0,64454.88,3.01,0,12406,18917.63
48,0,0,61467.16,3.04,0,11860,30766.59
42,0,1,102651.33,2.9,0,14202,16432.1
25,0,0,57617.33,3.02,0,11300,21362.9
43,0,0,80206.75,3.02,0,12277,20125.14
50,1,1,78247.8,2.94,1,16163,19702.28
26,0,0,83823.94,2.93,0,15527,15698.12
46,0,0,108597.91,2.97,1,12956,29610.08
34,1,0,78571.22,3.22,0,11954,24495.23
40,0,1,77914.76,3.1,0,15010,19472.15
28,0,0,92664.98,2.92,0,12843,30685.9
42,0,0,82068.77,3.09,0,12350,19216.89
59,1,0,105323.11,3.21,1,13954,24455.38
36,1,0,68541.8,2.78,0,12318,16807.57
27,1,0,81619.95,3.05,1,14357,19488.72
53,1,0,65549.01,3.07,0,11042,27630.64
60,0,0,66871.66,2.9,1,11054,21801.47
41,0,0,68065.82,2.88,0,12305,17875.7
57,0,0,74838.69,2.94,0,12298,23579.8
57,0,0,73414.49,3.01,0,12535,14177.4
49,0,0,63865.07,2.93,1,13036,18190.82
52,1,0,94524.93,3.12,1,12681,22185.42
31,1,0,37441.51,3.0,1,9904,25995.03
53,1,0,75458.57,2.95,0,12566,15717.36
39,0,1,56920.65,3.24,0,10642,23679.99
36,1,1,50848.67,3.01,0,11973,31241.96
43,0,0,84475.88,3.0,0,12489,22567.13
54,1,1,63430.11,2.91,0,12221,16010.63
40,0,0,65424.95,2.86,0,14301,24415.13
28,1,1,63372.05,3.09,0,13924,17407.91
36,1,0,80865.72,3.18,0,12881,23099.19
36,1,0,48288.34,3.03,0,12305,24096.48
47,0,1,61227.47,3.11,0,12485,19003.68
61,0,0,88480.81,3.06,0,13469,15610.41
43,0,0,95799.93,3.05,0,12252,15865.95
35,1,0,108629.75,3.03,1,12479,32233.04
48,1,0,78222.01,2.82,1,13038,18458.92
27,0,0,75021.63,3.03,1,12345,18466.41
46,1,1,79524.15,3.05,0,11620,34654.38
38,0,0,81061.77,3.07,0,11684,23790.86
40,0,0,48527.58,2.92,1,10746,19037.75
28,0,0,94387.67,2.86,1,13995,20246.55
41,0,0,65505.79,2.94,1,12355,24611.9
45,0,0,131750.9,3.09,1,14154,26826.5
65,1,1,76247.79,2.99,0,12752,20083.96
25,0,0,71229.95,3.03,0,11737,25224.66
42,1,0,85664.06,3.02,1,12976,20604.43
41,1,1,76849.24,3.02,0,14708,15676.39
45,0,0,64136.12,3.13,0,11605,11416.07
53,1,0,73469.26,2.98,0,12422,15290.11
42,1,0,75362.03,3.03,0,12567,18110.56
44,1,0,86093.2,2.96,1,14504,12050.32
42,1,0,81313.59,2.93,0,12998,21197.91
51,0,0,84205.15,3.05,1,13645,11874.81
56,1,0,118838.5,3.24,1,14793,29967.67
37,1,0,88803.2,2.9,0,13594,25599.77
48,0,0,56431.59,2.97,0,10465,19401.28
46,0,1,82721.23,2.99,1,12229,25914.1
38,0,0,75912.87,3.04,1,12392,15867.65
51,0,0,74923.4,2.88,0,13959,13202.77
47,0,0,79212.3,2.9,0,12122,15165.08
41,0,0,108830.17,3.06,1,13098,20849.58
44,1,1,111243.05,3.03,1,16679,26420.19
60,1,0,77802.68,3.02,1,12043,22671.25
46,1,0,87827.46,3.11,0,12338,20670.78
45,0,0,114276.31,2.96,1,13149,28926.63
38,0,1,62654.09,3.03,1,13145,11369.73
50,1,1,98143.91,2.88,1,13490,18568.01
54,0,0,73588.08,2.88,1,11709,17520.13
36,1,0,59490.46,3.12,1,13146,26498.92
37,0,1,72737.48,2.9,1,12203,20918.64
47,0,0,68438.52,2.86,0,11349,19119.43
36,1,0,61333.93,3.0,0,13031,19428.98
28,1,0,91434.43,2.91,0,12324,30765.26
36,1,1,88181.38,2.82,0,11980,35288.07
47,0,0,80522.6,2.93,0,12291,22197.34
42,0,0,68174.32,3.33,1,12738,13330.35
44,0,0,86259.87,3.02,1,11346,29675.97
45,0,0,86759.14,2.99,0,12080,30593.2
43,1,0,107842.34,3.18,1,13952,24140.5
61,0,0,93595.8,3.15,1,12481,15055.09
52,1,1,88590.83,2.87,1,14076,22788.81
62,1,1,86432.31,3.23,1,14871,19650.24
47,0,1,56635.91,2.99,0,11355,19128.58
51,0,1,108442.27,3.11,0,15176,15429.79
49,1,0,81117.63,2.83,0,11720,23607.42
59,0,0,102688.69,3.02,0,13061,18922.78
37,0,1,65059.32,2.94,0,12064,20726.09
37,1,0,66522.1,3.02,1,12221,25504.87
24,1,1,76692.05,3.18,0,13461,22068.98
28,1,0,68515.19,2.95,0,12999,15568.23
61,1,1,68513.64,3.07,0,11746,28091.11
41,1,0,57826.81,3.21,1,11799,22980.37
30,0,0,53377.99,3.02,0,13594,14530.68
29,0,0,88389.67,2.96,0,13682,24414.75
42,0,0,73281.32,2.91,0,11320,22216.95
46,1,1,75266.64,2.81,0,13328,16698.15
53,0,0,100413.32,2.98,0,13937,23689.88
44,0,1,78093.76,3.09,0,14607,19855.88
37,0,0,76466.86,2.99,0,11735,24716.4
47,1,0,86415.78,3.1,0,11521,38304.55
32,0,0,87417.82,2.96,0,12553,20623.05
37,0,0,67397.76,3.02,0,12532,32569.38
30,1,1,64843.55,2.94,1,13737,16362.55
47,1,1,75383.95,2.99,0,12345,26643.73
43,0,0,57211.32,2.76,0,10522,24589.77
34,0,1,77944.91,2.84,0,14054,13503.88
53,0,0,83412.71,2.99,0,11493,24379.61
39,1,0,39920.1,3.05,0,10070,30345.72
57,1,0,89558.27,3.08,0,13995,24983.43
35,1,0,72574.77,2.92,0,13196,15236.03
49,1,0,64930.5,3.16,1,12296,18019.69
32,1,0,68316.06,3.0,1,12880,14835.52
32,0,0,113989.64,2.95,1,15269,24059.33
50,1,0,69659.38,2.94,0,12645,25490.73
29,0,0,78913.0,2.87,1,12836,14002.04
41,0,0,68247.98,2.96,1,11340,22756.08
28,0,0,90778.02,2.85,0,12576,23710.74
62,0,0,88799.73,2.97,1,13929,15767.55
53,0,1,104911.06,3.04,0,13786,21900.72
34,1,0,45574.32,3.08,1,12633,12263.31
53,1,0,111912.4,2.91,1,14740,16261.33
49,1,0,78512.53,3.1,0,12923,21485.35
29,1,0,72006.14,3.21,0,12805,18959.23
35,1,0,99305.96,3.09,1,14481,25103.27
46,0,0,116142.81,2.93,1,13888,20385.22
48,1,0,75569.71,3.06,0,15222,11650.47
37,0,0,72545.52,3.15,0,11551,16013.99
30,1,0,64875.57,2.98,0,11262,29636.85
41,0,0,80609.22,3.18,1,11973,17668.5
50,0,0,82820.03,2.91,0,15982,24967.51
42,1,1,85186.27,2.85,0,13319,21918.88
33,1,1,55938.07,3.12,0,12191,19233.12
36,0,0,113962.61,2.94,1,13205,33175.68
49,1,0,90283.23,2.82,0,13740,20367.16
41,0,0,49306.3,2.88,1,11835,13327.21
50,1,0,94820.56,2.87,0,14029,14388.24
32,1,0,75257.04,3.2,0,14033,12485.58
47,1,0,67959.72,2.94,0,12204,30126.06
51,0,0,46714.34,3.07,1,13067,17706.58
55,1,0,74806.78,2.87,0,12498,16786.05
36,1,0,52253.94,2.93,1,12937,11542.74
57,0,0,90949.89,3.05,1,13821,20255.7
44,0,0,55091.06,3.12,1,12779,13132.86
36,0,0,92341.13,3.04,0,12298,22042.88
26,0,0,62925.8,2.83,1,13273,9402.64
46,1,1,91333.73,2.92,0,12964,25131.31
60,0,0,78693.1,2.92,1,12981,14567.15
44,0,0,87455.54,3.1,1,13517,21307.42
36,1,0,72703.8,3.08,0,12303,25106.51
37,0,1,61067.03,3.07,1,13361,10463.91
41,0,1,52279.29,3.01,0,12266,17796.96
65,0,1,51593.2,3.09,0,12392,45597.21
40,0,0,127393.0,3.18,1,13836,26311.83
38,1,0,74487.04,2.9,1,13705,15794.62
34,1,0,69832.38,2.81,0,12457,18630.41
36,0,0,65207.53,3.2,0,12504,11992.82
51,1,1,63400.46,3.15,1,14240,13274.65
56,0,1,128423.33,2.78,0,14351,23672.47
38,0,0,77879.98,3.03,1,13524,14529.31
41,1,0,93916.92,2.91,0,13660,15457.42
56,1,0,81934.66,2.91,1,14584,14377.79
48,0,1,67743.89,2.99,0,10753,37839.97
40,0,0,93672.2,2.95,0,13167,21289.07
61,0,0,76623.19,2.86,0,14323,11644.73
55,0,0,75579.19,2.92,1,11753,23603.73
41,1,1,81066.15,2.97,0,14871,22231.74
33,0,1,91796.97,3.07,1,13822,23040.19
53,1,0,127283.07,2.97,0,14318,21846.24
56,0,0,53278.57,3.1,0,12035,19404.32
47,0,0,93157.71,2.95,1,13796,23607.57
51,1,0,59652.94,2.89,0,11340,18370.2
25,1,0,47037.01,2.96,1,10517,28201.7
45,0,0,73712.06,2.85,0,12716,10830.06
51,0,0,94186.75,2.96,0,12712,19780.99
36,1,0,50291.55,3.21,0,13329,12745.43
31,1,1,75353.46,3.01,1,14758,22041.37
55,1,0,59978.14,3.22,0,12433,18174.54
50,1,0,74600.15,2.97,0,13521,17760.12
38,0,0,92004.28,2.94,0,12299,23691.77
44,0,1,76585.37,3.08,0,14520,14524.4
34,1,0,91273.11,3.22,0,14623,20244.08
37,1,0,84047.21,2.9,0,13865,25696.96
47,1,0,69373.19,2.9,0,13898,17562.29
50,1,1,74911.02,3.12,0,14346,12620.59
55,0,0,89249.84,3.2,0,11448,22237.43
46,1,1,89399.05,2.83,0,13351,22701.84
51,1,0,96059.11,2.98,0,15573,14582.45
32,0,0,100164.31,2.92,1,13781,25243.0
48,1,0,76747.05,2.86,0,11553,31938.19
64,0,0,87674.74,2.94,0,12702,12261.77
57,0,1,106251.04,2.99,0,13035,24290.25
50,0,0,79750.01,2.9,0,13492,16986.21
56,1,0,77241.99,3.06,0,13910,11353.14
40,0,0,99979.27,3.13,1,13635,19307.68
36,1,0,61575.86,3.02,0,12341,12940.5
46,1,0,64223.26,3.01,0,11907,21412.38
44,0,0,55833.45,3.1,0,11586,14804.72
26,0,0,64420.06,3.04,1,11284,39124.51
35,1,0,112498.15,2.85,0,16172,22315.35
44,1,1,47434.82,2.96,0,13997,9599.39
27,0,0,79925.62,3.04,1,12118,28741.58
27,0,1,66511.42,3.01,0,14612,12231.94
38,0,0,57512.03,3.01,0,11189,17349.92
30,1,0,102440.29,3.13,1,13187,16578.99
39,0,1,55232.87,2.74,1,13063,15578.59
47,0,0,102250.7,2.86,0,12081,26043.59
41,0,0,102113.43,3.02,0,13603,20705.1
25,0,0,69258.85,3.06,0,11862,13754.78
58,1,0,96806.06,2.99,0,15108,21515.21
34,0,1,86529.16,2.96,1,12822,28794.4
24,1,0,60226.83,3.05,1,13344,21593.3
40,1,0,75570.7,3.03,1,14625,11986.37
53,0,0,78397.18,2.89,0,14699,18562.93
58,0,0,84195.7,2.94,0,12004,15951.51
30,1,1,122175.04,2.94,0,15518,32435.71
28,0,0,67818.46,3.05,0,13324,13525.09
53,1,0,78509.14,3.1,0,14503,18317.16
53,0,1,62760.51,2.94,1,12002,12711.93
57,0,0,64514.86,2.99,0,12915,10949.03
51,0,0,125612.26,3.15,1,15899,23896.84
53,0,1,59963.73,2.83,0,14016,28715.79
52,1,1,90227.73,2.91,0,12706,37866.66
26,0,0,73957.55,2.88,0,12600,17029.34
32,0,0,70664.06,3.02,1,12684,23473.59
24,0,0,52983.5,2.82,0,12174,15261.47
64,1,0,83835.42,2.91,1,14186,16884.05
70,1,0,73996.23,3.19,1,11309,27147.52
43,1,0,68396.69,3.04,0,12786,15396.85
31,0,0,67749.66,3.03,1,13790,15868.72
31,0,0,75088.67,2.96,0,12354,17765.22
57,0,0,76516.26,2.83,1,11027,23112.43
57,0,0,103926.84,2.99,1,14701,17037.11
44,0,1,114579.83,2.74,1,16887,15710.14
48,1,0,77819.86,3.14,0,12515,25362.7
44,0,0,66163.14,2.99,0,12127,10194.29
48,1,0,86809.16,2.82,0,13600,19494.0
64,0,0,69933.23,3.05,0,10538,26158.45
40,0,0,76793.4,2.97,1,13745,17360.1
28,1,1,67903.19,2.96,0,14034,18816.65
28,0,0,74781.11,2.8,0,13172,14070.08
46,1,0,75513.21,2.99,0,14202,19558.96
27,0,0,79339.52,2.94,1,11988,20090.31
29,1,0,62052.07,3.01,0,11612,29996.95
55,1,0,86318.51,2.91,0,12715,22343.99
59,0,0,137009.02,2.81,0,14185,28900.89
30,1,0,64336.42,2.94,1,10726,28407.28
34,0,1,57505.98,3.07,0,13266,7501.67
