academic_performance,internship,starting_salary
Low,0,27517.41
High,0,51822.44
High,1,54682.13
Medium,1,38096.4
Medium,1,38385.04
Medium,0,38973.57
Medium,0,45750.04
High,1,59251.58
High,0,45418.56
Medium,0,34387.64
Medium,0,35631.54
Low,0,25211.78
Low,0,25591.2
High,1,44871.96
Medium,0,27786.48
Low,0,17200.82
Low,0,22247.41
Medium,0,45832.13
Low,0,48027.95
Low,0,40099.96
Medium,1,46244.11
Medium,0,36120.95
Medium,0,37843.79
Low,1,35702.38
Medium,1,55335.35
Low,0,25041.92
Medium,0,40014.77
Medium,1,45486.8
Medium,0,39558.84
High,0,39956.25
Medium,1,43621.19
Medium,0,33238.15
Low,1,46439.86
Medium,0,42854.91
Low,0,35582.24
Low,0,25575.38
High,1,52754.05
Medium,1,55210.14
High,1,60120.36
Medium,1,47107.8
Medium,0,46718.33
Medium,0,49805.91
Medium,0,47587.65
Medium,1,50247.58
Low,0,35729.08
Medium,1,43352.68
Low,0,30978.38
Low,0,33403.33
Medium,1,46591.14
Low,0,32515.17
High,1,54294.16
High,0,36347.05
High,1,58382.95
Medium,1,45540.36
Low,1,35634.99
High,1,66005.3
Medium,1,46783.4
High,0,45975.39
High,0,53439.61
High,1,55427.81
Low,1,40580.22
Medium,1,42016.38
High,1,50925.15
Medium,0,37300.11
Low,0,21354.24
Medium,1,42811.69
High,0,57948.31
Medium,0,36366.05
Medium,1,38215.53
Low,0,27359.85
Medium,0,41101.51
High,1,51269.88
Low,0,30358.39
Medium,0,41256.78
High,0,50008.63
Medium,0,39553.18
Medium,0,48818.38
Medium,1,45883.21
Medium,1,41045.51
Low,1,38773.08
High,1,54699.95
High,0,50357.23
High,1,60067.12
High,1,61707.32
Medium,1,39304.01
Medium,0,48659.95
Medium,1,44676.09
Medium,1,44710.73
Medium,0,34950.25
Medium,1,48733.51
High,1,47891.38
Medium,0,42691.99
Medium,1,53256.64
Low,1,33426.78
Medium,0,45409.13
Low,1,35409.72
Medium,0,33039.14
Medium,0,40598.69
Low,0,29073.4
Medium,0,44482.28
Low,1,33183.3
Low,1,37494.54
High,0,44721.56
Medium,1,47147.32
Low,1,35118.85
Medium,1,44362.46
Medium,0,40155.43
Low,1,33538.1
Medium,0,40707.95
Low,0,29014.92
Low,0,25133.3
Medium,1,38518.89
Medium,0,37528.44
Medium,0,38414.39
Medium,0,24976.74
High,1,55096.58
Medium,0,51014.97
Medium,1,48449.8
Medium,0,39142.87
Low,0,25923.48
Medium,0,31509.92
Low,0,34442.97
Low,1,37127.07
High,1,48825.14
High,1,59816.39
Medium,1,49197.9
Medium,0,36643.39
Low,0,28540.43
Low,0,31249.19
Low,0,32764.19
Medium,0,34526.43
Medium,1,47834.69
Medium,0,40296.01
Low,0,35554.23
High,0,53813.36
Medium,0,40289.23
Medium,0,44584.01
Medium,0,32452.6
Medium,0,38128.92
Low,0,25136.07
Medium,0,37222.95
Medium,1,42162.02
Low,0,23686.12
Low,0,34763.9
Low,0,33754.5
Low,0,26965.2
High,1,43424.06
Medium,0,37474.36
Medium,0,39756.91
Low,1,41784.7
Medium,1,42180.44
Medium,0,44891.77
Low,0,27475.92
Medium,0,42843.57
Medium,1,49038.05
Medium,0,42892.38
Medium,0,35214.36
Low,0,28182.21
Medium,0,42935.94
Medium,0,32099.97
Medium,1,48948.3
High,1,48936.71
Medium,0,33240.85
Low,1,32336.51
Low,0,26574.69
Medium,1,45909.11
Low,0,31336.03
Medium,0,40351.57
High,1,50084.94
Medium,0,46044.54
Medium,0,40322.86
Medium,0,44652.87
Medium,0,28532.24
Medium,1,47675.61
High,1,52135.01
Medium,1,48795.62
High,1,63930.94
High,0,44159.05
Low,0,34291.27
Low,0,27005.83
Low,0,20642.84
Low,1,39635.35
Low,1,44097.08
Medium,0,50555.64
Low,0,31503.0
Medium,0,32778.09
High,1,53963.19
Low,1,34453.88
High,1,60481.25
Low,0,29877.7
Low,0,19621.38
Medium,1,48152.43
Medium,0,40359.38
High,1,59519.55
Medium,0,41242.06
High,1,58444.79
Low,0,30073.69
Low,1,36418.04
Medium,0,35392.53
High,1,56771.02
High,0,49074.4
Medium,1,47449.68
Medium,0,34088.06
Medium,0,46995.85
Medium,1,46241.74
High,1,58965.63
High,1,55023.76
Medium,0,43016.18
Medium,0,28774.1
Medium,0,39462.26
Low,0,26035.66
High,0,48200.3
Medium,0,45053.36
High,0,42001.78
Medium,0,43698.61
High,0,52306.64
Medium,1,51402.31
Low,0,19631.71
High,1,57947.5
Low,0,31263.55
Medium,0,39734.19
High,1,62220.47
High,1,44459.81
Medium,0,40625.76
Medium,0,45112.1
Medium,0,31872.94
Low,0,32972.35
Medium,1,46626.99
Medium,0,29350.63
Medium,0,45484.37
Medium,0,35540.96
Medium,0,47892.34
Low,0,32870.37
Medium,1,46498.82
Low,0,35063.59
Medium,0,44471.57
Medium,0,30204.61
High,1,46475.19
Medium,0,39282.87
Low,1,29628.67
Low,0,38298.23
Medium,1,40046.16
Medium,1,45460.31
Low,0,32915.32
Low,0,42221.0
Medium,0,45746.61
Low,0,26694.13
High,1,57623.69
Medium,1,48491.64
Low,1,38109.79
Low,0,25097.44
High,0,60159.0
Medium,0,33879.35
Medium,0,43401.04
High,1,50588.89
High,1,56953.79
High,1,54020.42
Medium,1,38487.44
Medium,0,27625.79
Low,0,34428.21
Medium,1,42203.33
Medium,1,45695.75
Medium,0,49000.99
High,1,58118.91
Low,1,20509.52
Medium,0,33876.45
Low,0,20793.77
Medium,0,35831.6
Low,0,28645.34
Low,0,42774.31
Low,1,40032.55
Medium,0,41782.13
Medium,0,42219.21
Medium,1,47375.45
High,1,46238.4
Medium,1,37953.09
Low,0,32276.59
High,1,55024.75
Low,1,36511.24
High,1,63026.45
Low,0,26539.93
High,0,48152.09
Low,0,31233.94
High,1,46489.47
Medium,1,37634.71
High,1,61815.42
Low,0,28529.05
Medium,1,42548.58
High,1,56206.24
Medium,0,31652.74
Medium,0,38466.09
Medium,0,37127.02
Medium,1,46837.0
Medium,1,34447.69
Medium,1,40994.16
High,1,52697.33
Low,0,27575.83
Low,0,35257.89
High,1,51063.95
High,0,65378.3
Medium,0,43734.72
Medium,0,37567.29
Low,0,33022.57
Low,0,33632.77
Medium,1,43448.47
Medium,0,45758.89
Medium,0,35121.34
Low,0,32931.47
High,1,54475.45
High,0,51447.55
Medium,1,46143.82
Medium,1,45090.45
Medium,1,54882.84
High,0,47074.74
Medium,1,41051.8
Low,1,34557.59
High,0,56516.17
High,1,55190.78
High,1,54642.44
Medium,0,37221.6
Medium,1,42567.73
Medium,0,45348.11
High,0,49688.51
High,0,51273.04
Low,0,26509.78
Low,0,33884.33
Medium,1,51115.78
High,1,50362.08
High,1,50488.64
Low,1,30777.99
Medium,0,45178.39
Medium,0,35195.11
High,1,53279.66
High,0,45077.63
High,0,58458.77
Medium,0,37341.7
Medium,1,53316.19
Low,1,34867.35
Low,0,27532.56
High,0,53994.42
High,0,49803.68
High,0,57050.42
High,1,53917.38
Medium,0,37741.33
Medium,0,37721.29
High,0,56213.98
High,1,56254.26
Low,0,26312.6
Medium,0,32822.44
Low,0,31056.24
High,1,50309.23
Medium,1,36160.02
Low,1,40443.56
Medium,1,38837.83
Medium,1,36065.02
Medium,1,44312.56
Low,0,28501.23
Medium,0,35633.52
Medium,0,41094.84
Medium,1,43516.84
Medium,0,50995.9
High,0,49035.72
Medium,1,38637.29
Medium,0,41501.01
High,1,56915.3
Medium,1,43324.94
Low,0,21683.0
Low,0,37733.01
Medium,1,38687.73
Medium,1,49418.02
Medium,1,51164.12
Low,0,28450.15
Low,0,34397.63
Low,0,34835.4
Medium,1,39639.12
Medium,1,52355.23
Medium,1,46646.6
Medium,1,34177.24
High,0,50990.78
Medium,1,42205.26
Medium,0,42229.49
Medium,0,36799.48
Medium,1,41830.61
Medium,1,39821.27
High,1,56124.25
High,1,57601.05
Low,0,29986.05
High,1,53529.8
Medium,1,45483.18
Low,0,35284.68
Medium,0,34799.83
High,0,43317.43
Medium,0,33996.39
Medium,0,31804.61
Medium,0,34931.01
Low,0,35705.96
Low,0,21502.55
Low,1,33744.01
Low,0,33332.74
Low,0,30059.0
Low,0,34362.44
Medium,1,42099.2
Low,0,27536.01
Medium,0,38051.14
High,0,52766.51
Medium,0,53651.11
Medium,0,39962.31
Low,0,28817.5
Low,0,25184.38
Low,1,43701.27
Low,1,33065.95
Low,1,31910.53
Low,1,33950.27
Low,0,39112.8
Low,0,27193.63
Medium,0,39874.18
Low,0,17419.37
Medium,0,44901.43
Medium,1,43568.61
Medium,0,44560.21
Low,0,33169.45
Medium,0,40794.27
Medium,1,42750.61
Low,1,35316.76
High,1,48297.35
High,0,51123.88
Low,0,32766.13
Low,1,35409.77
High,1,55180.46
Medium,0,36969.5
Low,1,34197.31
Low,0,24515.44
Medium,0,37272.23
Medium,1,55324.06
Medium,0,40443.62
Medium,0,42427.06
Medium,0,39868.66
Medium,0,40328.04
Low,1,35672.04
Low,1,33795.15
Medium,0,42966.49
High,0,46421.12
Medium,0,32583.87
Medium,0,40983.63
Low,0,35591.49
Medium,0,36753.75
Medium,0,43921.73
Low,0,33362.28
Low,1,42801.11
Medium,0,49318.43
Low,0,32900.78
Medium,0,39400.93
Low,0,21918.07
Medium,1,49882.63
Low,1,40656.88
High,0,48712.61
Medium,1,46760.15
Medium,1,39866.82
Medium,0,37008.7
Medium,1,38391.5
Low,0,31345.1
Medium,0,38001.86
Medium,0,46248.4
Medium,0,41173.73
Medium,1,46765.47
Low,0,30057.14
Low,1,42898.85
Medium,0,47261.57
Medium,1,44141.88
Medium,0,41492.22
Medium,1,52073.92
High,1,49120.17
Medium,0,41509.89
Low,0,28249.75
Low,0,37362.88
Low,1,37653.1
Low,0,21311.1
Low,0,27921.38
Low,0,37018.53
Low,1,39460.0
Low,0,24787.61
High,1,50106.28
Low,0,30390.58
Medium,0,39728.1
Medium,0,38716.43
High,0,47983.7
Low,0,27060.71
Medium,0,51277.41
High,1,53171.13
High,0,46704.48
High,1,57529.77
Low,0,29493.34
Low,0,25392.29
Medium,0,38749.66
High,0,49699.47
Medium,1,47151.49
Medium,1,46565.24
Low,0,24922.62
Medium,1,48043.5
Low,1,39460.59
Medium,0,34620.7
Medium,0,36116.48
Medium,0,39122.29
Low,1,36097.77
Low,0,31288.01
Medium,0,39786.39
Low,0,22842.48
Medium,0,45060.33
Low,0,25041.78
Medium,0,46752.9
Medium,1,50837.56
Low,0,24432.4
Medium,1,46762.37
Low,0,36805.32
Low,1,37944.23
High,1,46511.4
Medium,0,39812.64
High,0,54168.82
Low,1,43404.76
Medium,1,44322.13
Medium,0,31668.76
Medium,0,50940.66
Medium,0,39387.72
Medium,0,47222.47
Medium,0,38709.45
High,0,52748.92
High,1,51572.59
High,1,51669.63
Low,0,39048.07
Medium,0,44698.6
High,0,49860.34
Low,1,39672.6
Low,1,31610.6
Medium,1,45007.79
Medium,0,40511.19
High,0,46207.77
Low,0,25552.79
Medium,0,30557.13
Low,0,25162.29
Low,0,39139.47
Low,0,21114.93
High,0,49826.98
Medium,0,40763.03
Medium,1,43751.17
Medium,1,49371.81
High,0,48624.74
Medium,1,49767.42
High,0,52745.61
Medium,0,33233.6
Medium,0,45807.76
Medium,1,43431.11
Medium,1,36044.41
Medium,1,47356.48
Medium,1,43564.77
Low,0,38143.38
High,0,55478.02
Medium,1,40488.66
Medium,0,44744.93
High,0,46519.85
Medium,1,36714.66
Low,0,26927.1
High,0,43354.45
Medium,0,39931.74
Medium,0,49652.69
Low,0,30393.54
Medium,1,47307.04
Medium,0,34984.23
Medium,0,37298.27
High,0,52726.29
Medium,0,39657.09
Low,0,26396.29
Medium,1,50014.01
Low,0,30702.39
Medium,1,55275.3
Low,0,33296.54
Medium,1,39326.76
Medium,0,40578.28
High,0,43980.2
Medium,0,50024.89
High,1,50055.57
Low,1,40570.79
High,0,54771.43
Low,0,26587.43
Medium,0,41642.03
Medium,0,41279.11
Low,0,34163.63
Low,0,30884.9
Medium,0,36659.59
Medium,1,47803.87
Medium,0,42820.9
Medium,0,35344.48
Medium,0,28473.07
Low,0,32957.76
Medium,0,41866.71
Low,0,32159.01
High,0,56595.07
Medium,0,44380.48
Medium,0,46466.83
Medium,0,43915.22
High,1,55719.75
Low,0,23852.05
Medium,0,47705.97
Medium,0,38952.14
Medium,0,36970.57
Low,0,33185.3
High,1,45821.73
High,1,51304.92
Medium,0,36853.8
Medium,0,36711.0
High,0,59676.05
Medium,0,39588.35
Low,0,26805.57
Medium,1,44758.39
Medium,1,49268.52
Medium,1,35468.83
Medium,1,45572.09
High,0,47735.24
High,0,51347.8
Medium,0,34270.78
Low,0,29101.0
High,1,54316.99
High,0,43647.16
Low,0,39321.67
High,0,52074.49
High,1,59606.35
Medium,0,38230.02
Medium,0,41073.63
Medium,1,38990.99
Low,0,26799.39
Medium,0,35505.7
High,0,51482.6
Low,0,38534.84
Medium,0,44517.27
Medium,0,49058.72
Medium,1,48968.93
High,0,52101.08
Medium,0,35387.78
Medium,0,41616.57
Medium,1,42629.24
Medium,0,44160.28
Low,0,23204.12
Medium,0,39459.41
Low,0,30087.24
Low,0,38932.65
Medium,0,34884.36
Medium,1,50840.78
High,0,54117.06
Medium,1,43721.07
Medium,0,42048.32
Medium,0,38751.03
Low,0,30073.01
Medium,1,48765.02
Low,0,42723.17
High,1,59820.84
Low,0,31237.64
Medium,1,52118.49
Low,0,22897.47
High,0,47977.18
Medium,1,45336.03
Medium,1,39807.22
Low,0,27294.82
Medium,1,36720.21
Low,0,23606.25
High,1,53774.97
Low,0,25296.96
Low,0,32103.98
Low,0,31338.77
Medium,1,46785.38
Medium,1,42477.85
Low,0,35411.82
Medium,1,47503.82
Medium,0,41122.63
Medium,0,41164.05
Medium,0,38962.34
Medium,0,46592.71
Medium,0,45708.32
Low,1,33173.39
Low,0,30824.64
High,1,53017.15
High,1,67327.76
Medium,1,43723.89
Low,0,35976.45
Medium,0,53396.33
Medium,0,41584.72
Low,0,21290.49
Low,0,37551.15
Medium,1,42441.29
Medium,0,36564.93
Low,0,38896.37
Low,0,23492.01
Low,1,42173.25
Medium,0,38881.01
Low,1,25735.1
Low,1,39420.2
Medium,0,28741.7
Low,0,29770.7
Medium,0,31827.68
Low,0,28359.67
Low,0,33484.99
Low,0,32113.06
Medium,0,41039.95
High,0,55046.24
High,0,49999.81
Medium,0,38918.24
Medium,1,46426.57
Low,0,26692.1
Low,1,39314.09
High,0,50353.22
Low,0,33578.9
Low,1,34113.42
Low,1,37494.91
Low,0,33325.28
Low,0,19902.93
Medium,0,32694.44
Medium,0,37208.54
High,0,49344.1
High,1,61376.73
Medium,0,42269.7
Low,0,32616.49
Medium,0,47708.59
Medium,0,46880.37
Low,0,24957.46
Medium,1,51164.94
Medium,0,40524.19
Medium,0,37423.69
Medium,1,43532.66
Low,1,31872.51
High,0,50705.86
Medium,0,39585.21
Low,0,36179.93
High,0,59665.03
Medium,0,37974.11
High,0,43521.21
Medium,0,43339.18
Medium,1,49708.92
Low,0,31902.4
Low,0,22306.4
Medium,1,41038.68
Medium,1,45736.07
Low,0,26919.81
Low,0,25011.4
High,0,60722.15
High,1,50001.37
Medium,0,46032.71
Low,0,32063.45
Low,0,33041.43
Low,0,35689.43
High,0,46555.56
Low,0,28501.08
Medium,0,42363.03
Low,0,20753.78
Medium,0,48248.16
Medium,0,40579.85
High,1,50290.29
Low,0,35469.06
Low,0,30458.07
Low,0,26392.6
High,1,59729.15
High,1,43372.48
Medium,0,42097.81
Medium,1,51551.37
Medium,0,35835.19
Low,0,23590.99
High,1,57115.94
Medium,0,36616.19
Medium,0,51240.44
Medium,0,37349.52
Low,0,29028.03
Low,0,32607.14
Medium,1,35908.38
Low,1,35298.47
Medium,0,45597.23
Low,0,29594.39
Medium,0,34260.38
Low,0,27829.05
Medium,0,30425.89
Medium,0,38545.51
Low,0,35550.53
Medium,1,41878.26
Medium,1,48495.88
Medium,0,32588.48
High,0,59396.95
Medium,1,50656.59
Low,0,27539.14
Low,0,23384.73
Low,0,27459.31
Medium,0,41409.89
Low,0,35430.05
Medium,0,29448.77
Medium,1,51027.45
Medium,1,46284.33
Medium,0,34182.87
Low,0,17254.56
Low,0,30687.37
Medium,0,41099.45
Medium,0,36918.42
Medium,1,49560.44
Medium,1,55169.61
Low,1,33002.61
High,1,51266.72
Medium,1,53584.07
Medium,0,38896.54
Low,0,33296.56
Medium,0,36963.76
Medium,1,50701.52
Low,0,23777.54
High,0,50725.38
Low,0,31479.76
High,1,54087.21
Medium,0,36818.29
Low,0,38964.73
Medium,1,49044.32
High,1,50674.29
Medium,0,30580.75
High,1,62392.59
Medium,1,40369.53
Medium,0,40309.01
High,1,55459.33
Low,0,31429.51
Medium,0,31558.11
Low,1,33254.48
High,0,49921.19
High,1,54722.51
Low,1,38574.09
Medium,1,45824.83
High,0,52226.2
Low,0,27006.53
Medium,1,53535.44
High,1,53553.3
Low,0,31646.36
Medium,0,40571.24
Low,0,32255.08
High,0,56002.44
High,0,45795.64
High,0,54128.31
Medium,0,43686.09
High,0,50866.8
High,1,56133.88
Medium,0,34221.98
High,0,48301.7
Low,0,20463.79
Medium,0,38469.29
Low,1,34683.68
Low,0,23005.83
Low,1,36495.55
Medium,0,46035.84
Medium,0,41077.22
Medium,0,39972.59
Low,1,32372.95
Medium,0,41857.89
Medium,1,39918.76
Medium,0,27941.14
Medium,1,52897.94
Medium,0,44803.6
High,1,49503.87
Medium,1,37769.51
Low,0,30531.91
Low,0,30322.07
High,0,54080.98
Low,0,28325.06
High,1,60774.77
Medium,1,43916.77
High,0,56065.03
Medium,1,44092.78
High,0,45678.9
Medium,1,43127.81
Medium,1,48271.2
Medium,0,41769.18
Medium,1,45262.64
Medium,0,34780.99
High,0,49700.01
High,1,51735.59
Medium,0,36605.99
Medium,1,49976.53
Medium,0,36168.23
Medium,0,35884.26
Low,0,31570.39
Low,0,25418.98
Medium,0,37228.94
Low,0,39627.75
Low,0,29163.49
Low,0,33379.22
Low,0,42576.27
Low,0,30997.47
High,1,57623.68
Medium,1,46562.88
Medium,1,43373.43
Medium,0,40629.48
Low,0,29106.56
High,0,45445.47
Medium,1,49165.48
Low,0,20952.89
Medium,0,40038.25
High,0,48603.62
High,0,44819.13
Medium,1,48114.19
Medium,1,39891.31
Low,0,27960.85
High,1,58638.81
Low,0,20373.6
High,1,60387.54
Medium,0,39817.95
Medium,0,38454.5
Medium,1,38103.19
Low,1,35452.14
Low,0,30124.13
Low,0,32732.62
Low,0,27652.21
Medium,0,35123.25
Medium,0,41568.65
Low,0,27112.04
High,1,57522.42
High,1,49844.25
High,1,58970.14
High,1,62450.13
Low,1,34167.28
Medium,0,46743.96
Medium,0,43767.43
Medium,0,41682.58
Low,0,29932.71
High,1,52278.69
Low,0,35988.81
Low,0,34979.52
Medium,0,34773.31
Medium,0,40575.25
Medium,0,35930.46
Low,1,37375.4
High,1,58745.44
Low,0,22182.61
Low,0,29582.47
High,1,57122.22
High,0,50456.79
High,0,58918.01
High,0,42135.2
Medium,1,51775.99
Medium,0,35582.45
Low,0,19283.8
Medium,0,41601.15
Medium,0,39372.35
Low,0,30460.82
Medium,1,47607.39
Medium,0,42748.18
Low,0,27345.98
Low,0,34058.91
Medium,0,29916.66
Low,0,29527.3
High,0,55646.68
Medium,1,46428.47
Medium,0,40249.92
Medium,0,38280.19
High,0,51736.26
Medium,1,43597.36
Medium,1,48134.79
Medium,1,42403.33
Low,0,37628.18
High,0,52734.65
Medium,0,49064.31
Medium,1,43060.65
High,0,56121.98
High,0,43673.46
Medium,0,43610.13
High,0,49421.37
Medium,1,45595.6
Medium,0,43646.72
Medium,1,48716.65
Medium,1,49192.64
Low,0,31759.36
High,1,57709.22
High,0,48890.94
Low,0,26779.12
High,0,50833.49
Low,1,24273.53
Medium,1,47095.28
Medium,1,49349.1
Low,0,33099.79
High,0,46943.84
High,0,39776.26
Medium,0,43280.96
Low,0,26056.85
Low,0,23563.09
Medium,0,44741.76
High,1,48223.26
Medium,0,39142.27
Low,1,43886.89
Medium,0,36663.58
Medium,1,39671.64
Medium,1,47536.36
Low,1,36635.19
Medium,0,31713.19
Medium,0,40263.0
High,1,60890.72
Medium,1,51999.58
Medium,0,38697.63
High,1,57478.91
Low,0,32710.38
High,1,60040.84
Medium,1,44545.91
Low,0,36476.54
Medium,1,41351.46
Medium,0,43901.1
Low,1,29989.62
Medium,0,31048.96
Medium,1,48061.25
Medium,0,54776.66
Low,0,31602.16
High,1,53954.26
High,1,61210.42
High,1,52776.76
Medium,0,31175.79
Low,0,34713.39
Medium,1,52773.44
Low,0,30644.44
Low,0,31562.93
Medium,0,36955.87
Medium,0,39187.24
Medium,0,41111.74
Medium,0,40224.81
Medium,0,40179.0
Low,0,14296.11
High,1,55824.56
Medium,0,33362.08
Medium,1,47378.33
Low,1,40287.46
Medium,1,47801.15
Medium,0,34259.92
Low,0,25829.17
Low,0,29666.31
Medium,0,44267.02
Medium,0,44972.59
Low,0,31803.15
High,1,50178.79
Low,0,35869.63
Medium,1,44871.06
High,1,53011.75
Medium,0,37566.24
Medium,0,32390.07
Medium,0,45498.86
Low,0,29374.34
High,1,51539.19
Medium,0,43036.38
High,0,53936.66
Low,0,21336.97
Low,1,42753.24
Low,0,41106.6
Medium,0,40509.94
Medium,1,46196.83
High,1,66967.51
Medium,0,34536.06
High,1,52391.75
Low,0,32906.44
High,1,60738.37
Medium,0,40190.33
Medium,0,35932.09
High,1,61440.6
Medium,1,44961.49
Medium,0,40006.98
Low,0,34649.02
Low,0,37528.42
High,1,56198.51
Medium,1,47391.38
Medium,1,50231.77
Medium,1,43867.96
Low,0,27257.71
Low,0,28161.21
Medium,1,40398.17
Medium,0,34561.06
Low,0,41105.24
Medium,0,35526.69
Low,0,31357.44
Medium,0,39571.48
Low,0,35243.35
Medium,0,40580.83
Medium,1,51935.09
Medium,0,39353.15
Low,0,31226.63
Low,0,33754.35
Medium,0,40995.87
Medium,0,42634.51
Medium,0,41418.41
Low,1,27931.83
Medium,1,48827.82
High,0,55887.91
Medium,1,44352.21
Low,0,28973.75
Medium,0,41466.79
Low,1,44728.65
Low,0,28577.11
High,0,53112.18
Low,0,29125.54
Medium,1,47987.69
Medium,1,38621.52
Medium,1,53979.12
Medium,0,41836.89
Low,0,28606.2
Medium,1,43741.65
Medium,1,46390.94
Low,0,40013.7
Medium,0,47732.82
Low,0,28655.71
Low,0,30470.79
Medium,0,40722.05
Low,0,20240.83
Medium,1,43847.89
Medium,0,41050.63
High,1,50460.97
Low,1,43635.38
Low,0,24370.89
Low,0,24923.76
Medium,1,48458.09
Medium,1,46393.9
Low,0,27738.14
High,0,55036.09
Low,0,31218.84
Medium,1,54245.76
Medium,0,31107.72
High,1,52391.36
Medium,1,53271.6
High,1,57402.23
Medium,0,39473.76
High,1,52982.59
Low,0,31749.12
High,1,49275.92
Medium,0,32827.88
High,0,52816.42
Medium,0,44276.71
Medium,0,44704.32
Medium,1,42853.41
Medium,0,37655.21
Low,0,29983.29
Low,0,25032.56
Low,0,33320.01
Low,0,28519.42
High,0,49667.07
Low,0,29123.09
High,0,52570.27
Medium,0,41430.65
Low,0,39531.6
Medium,0,38079.28
Medium,1,53964.26
Medium,0,30941.28
Medium,0,42447.62
Medium,1,37071.97
Low,0,24880.55
High,1,50126.7
High,1,49737.64
Medium,1,41959.63
Low,0,41002.5
Medium,1,40609.72
Low,0,21931.02
Low,0,32468.52
Low,1,36211.43
Medium,0,51081.42
High,1,54796.04
Medium,0,28562.93
Medium,0,37862.89
Medium,1,42763.5
Medium,1,38835.69
Medium,0,37186.97
High,0,49252.22
Low,0,29695.87
High,1,48097.79
Medium,0,43046.81
Medium,1,53179.69
Medium,0,41402.8
Medium,0,45531.84
High,0,50906.56
High,0,44767.64
Medium,1,46354.57
Low,0,27487.22
